"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Informal Fannal Design Verification: Experience from the Industrial Trenches","J. Kyriakidis; E. Vaz","QRA Corp, Halifax, Canada; QRA Corp, Halifax, Canada",2018 IEEE/AIAA 37th Digital Avionics Systems Conference (DASC),"9 Dec 2018","2018","","","1","10","Design Verification is playing a growing role in building physical systems largely controlled by software. This is driven by the often acute and sometimes chronic rise of project cost and duration brought on by the increase in testing now needed. Formal methods, as a subset of Design Verification, offer the promise of exposing design and requirements anomalies very early in the engineering process. In practice, achieving these benefits has been hampered on the one hand by the need for highly specialized skills, and on the other by a lack of significant computational power needed for the largest, most complex systems, where the potential value is the greatest. But there are signs of an inflection point, and rigorous design verification is already being applied in a number of industries and companies. This inflection point is a product of three forces: 1) The increase of affordable and usable computational power, 2) the invention and optimization of new efficient algorithms, and 3) the availability of robust tooling that exploits both power and efficiency. This paper will describe joint efforts of tooling companies and engineering firms to develop a) a more informal approach to formal methods aiming to alleviate the need of specialized mathematical expertise, b) a flexible and interactive approach to these methods, and c) an application directed to those model-based designs relevant to the avionics industry. The paper will discuss both success and failures, technical and otherwise, as well as work that remains to be done to transition away from the early adopter segment and bring the benefits to a greater fraction of industry.","2155-7209","978-1-5386-4112-5","10.1109/DASC.2018.8569614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8569614","Formal methods;design verification;model-based design;V& V;verification and validation;requirements;constraints","Testing;Industries;Software;Complexity theory;Formal verification;Companies;Stakeholders","","1","","3","IEEE","9 Dec 2018","23-27 Sept. 2018","23-27 Sept. 2018","IEEE","IEEE Conferences"
"Verification Method of Airborne Software for Aviation Safety based on Model","L. Yu; S. Kang; L. Xin","System Integration Center AVIC The First Aircraft Institute, Xi’an, China; System Integration Center AVIC The First Aircraft Institute, Xi’an, China; Landing Gear System Research Institute AVIC The First Aircraft Institute, Xi’an, China",2019 IEEE 8th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),"5 Aug 2019","2019","","","1516","1520","This paper discusses the difference between traditional software development and model-based software development. The characteristics and advantages of model-based software development and verification are analyzed. This paper introduces the airborne software development tool SCADE Suite in the field of aviation high safety. In this paper, the model based software verification objectives, verification strategies, high level verification, low level verification, model coverage analysis methods and activities through SCADE Suite are discussed in detail.","","978-1-5386-8178-7","10.1109/ITAIC.2019.8785757","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8785757","Airborne software;Model-based software development;Software modeling;Software verification","Software;Mathematical model;Analytical models;Standards;Atmospheric modeling;Data models;Semantics","","","","5","IEEE","5 Aug 2019","24-26 May 2019","24-26 May 2019","IEEE","IEEE Conferences"
"Formal Verification Tool Evaluation For Unmanned Aircraft Containing Complex Functions","H. Herencia-Zapana; J. Lopez; G. Gallagher; B. Meng; C. Patterson; L. Maalolan","General Electric Global Research Center, Niskayuna, NY; General Electric Global Research Center, Niskayuna, NY; GE Aviation Systems, Pinellas Park, FL; General Electric Global Research Center, Niskayuna, NY; Electrical and Computer Engineering, Virginia Tech, Blacksburg, VA; Electrical and Computer Engineering, Virginia Tech, Blacksburg, VA",2020 AIAA/IEEE 39th Digital Avionics Systems Conference (DASC),"18 Nov 2020","2020","","","1","9","The expected proliferation of UAS in the NAS requires technologies that ensure safe operation. There is significant interest from industry and civil aviation authorities to have a standard practice to enable flight operations for UAS containing flight safety critical functions which are too costly to certify. Developing a certification path for these UAS technologies could advance safety of UAS operating in the NAS. In response to this need ASTM released standard F3269-17 in 2018. This standard proposes a run-time assurance architecture whereby an untrusted or non-pedigreed and therefore non-certified flight safety critical function (complex function) can be included in a UAS avionics system that can be certified. GE Aviation is developing an avionics solution intended for safe operation of UAS. As part of ensuring safe operation of UAS GE Aviation's avionics implements a runtime safety assurance (RTA) system that follows the guidelines laid out in the ASTM F3269-17 standard. Formal methods-based verification and validation (V&V) tools hold great promise for addressing the exploding cost of performing V&V on flight safety critical systems that include software. However, there are very few examples demonstrating a side-by-side comparison of the traditional V&V approach and a V&V approach where formal methods-based tools are used at appropriate steps in the process. This paper presents a side-by-side comparison of a complete V&V process for the RTA using both traditional and formal methods-based V&V and shows the benefits of formal tools applied at various early stages of the V&V process. More specifically this paper shows a comparison for the generation of the following evidence for the RTA: Requirements analysis, test case generation, and prof that requirements are fully implemented by the select sub-systems and/or components architecture.","2155-7209","978-1-7281-9825-5","10.1109/DASC50938.2020.9256529","NASA(grant numbers:80NSSC19M0239); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9256529","UAS;Certification;F3269-17;Formal methods;V&V process;safety critical systems","Safety;Tools;Standards;Germanium;Software;Ontologies;Monitoring","","","","20","IEEE","18 Nov 2020","11-15 Oct. 2020","11-15 Oct. 2020","IEEE","IEEE Conferences"
"Correct and Sustainable Development Using Model-based Engineering and Formal Methods","H. Kausch; M. Pfeiffer; D. Raco; B. Rumpe; A. Schweiger","RWTH Aachen University, Aachen, Germany; RWTH Aachen University, Aachen, Germany; RWTH Aachen University, Aachen, Germany; RWTH Aachen University, Aachen, Germany; Airbus Defence and Space GmbH, Manching, Germany",2022 IEEE/AIAA 41st Digital Avionics Systems Conference (DASC),"31 Oct 2022","2022","","","1","8","Currently, the most wide-spread quality assurance methods in industry are testing and manual reviews, but their costs grow disproportionately with the system size and they cannot achieve exhaustive coverage. To overcome these issues, a model-based verification approach for analyzing cyber-physical systems early in the development phase is presented. A semantics is given to SysML v2 models by a mapping into a (theorem prover encoding of a) data flow formalism. The creation of a SysML profile supporting event-driven and state-based specifications, the encoding of corresponding data flow structures in the theorem prover Isabelle, and a code generator from SysML to Isabelle is shown. The approach is evaluated by formally proving a selected liveness property of a hierarchical system model from the avionics domain. Since liveness properties can be negated only by infinite data sequences and thus cannot be covered exhaustively by testing, this case study suitably demonstrates the added value of our methodology. Finally, this MBSE framework for early design analysis can lead to an optimization of the architecture layout (i.e. reducing the number of required avionics components), which in turn can lead to the reduction of the avionics equipment weight, and thus of the energy consumption, producing less CO2 emissions.","2155-7209","978-1-6654-8607-1","10.1109/DASC55683.2022.9925819","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9925819","avionics;formal method;model checking;theorem proving;abstract interpretation;static analysis;SysML;requirements;event-driven automata;non-determinism;underspecification","Energy consumption;Computational modeling;Layout;Manuals;Computer architecture;Aerospace electronics;Encoding","","7","","39","IEEE","31 Oct 2022","18-22 Sept. 2022","18-22 Sept. 2022","IEEE","IEEE Conferences"
"A Review on Formal Verification of Basic Algorithms in Time Triggered Architecture","N. Sheena; S. Joseph; S. Kumar N.","Division of IT, School of Engineering, CUSAT, Kerala, India; Division of IT, School of Engineering, CUSAT, Kerala, India; Department of Computer Science & Engineering, College of Engineering & Management Punnapra, Kerala, India","2018 International Conference on Control, Power, Communication and Computing Technologies (ICCPCCT)","13 Dec 2018","2018","","","352","355","In recent days time triggered architecture play a vital role in safety-critical real time applications such as avionics, automotive industry and many other industrial cyber physical systems. Start-up, group membership, clock synchronization and clique avoidance are some of the basic algorithms of time triggered architecture. Now-a-days the design of time triggered systems is much more difficult because they depend on the temporal properties. So formal verification methods are used for real time safety critical applications. In this paper demonstrates the different modeling and verification methods adopted for assuring the properties of time triggered algorithms in time triggered communication protocols like TTA, TTCAN and FlexRay.","","978-1-5386-0796-1","10.1109/ICCPCCT.2018.8574228","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8574228","Time-triggered architectures;Safety-critical systems;TTA;TTCAN;FlexRay;Verification","Synchronization;Safety;Protocols;Computational modeling;Computer architecture;Real-time systems;Network topology","","4","","19","IEEE","13 Dec 2018","23-24 March 2018","23-24 March 2018","IEEE","IEEE Conferences"
"A Formal Verification Method for Real-Time Embedded Systems","F. CHARFI","Informatics Technologies Department, Higher Institute of Technological Studies at Sfax, Sfax, Tunisia","2026 International Symposium of Systems, Advanced Technologies and Knowledge (ISSATK)","23 Jun 2026","2026","","","1","6","Real-time embedded systems are increasingly deployed in safety-critical domains such as avionics, automotive, railway, and medical devices, where violations of timing constraints can lead to catastrophic consequences. In this context, formal methods provide a mathematically rigorous framework to model, analyze, and verify both functional and temporal properties. This paper introduces a formal verification methodology for real-time systems that integrates timed automata-based model checking with analytical schedulability analysis. The proposed approach introduces a unified modeling pattern for tasks and schedulers, coupled with a rigorous property specification discipline and an end-to-end verification workflow. An experimental evaluation on a representative real-time control case study illustrates the applicability, strengths, and limitations of the proposed method. We discuss scalability, modeling effort, and tool support, and outline directions for integrating this methodology more systematically into industrial development processes for real-time embedded systems.","","979-8-3315-4871-1","10.1109/ISSATK69667.2026.11566770","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11566770","Real-time systems;Formal methods;Timed automata;Time Petri nets;Model checking;Schedulability analysis;Worst-case execution time","Modeling;Timing;Real-time systems;Printing;Automata;Embedded systems;Model checking;Schedules;Equations;Scheduling","","","","28","IEEE","23 Jun 2026","25-27 April 2026","25-27 April 2026","IEEE","IEEE Conferences"
"Towards DO-178C Certification of Adaptive Learning UAV Agents Designed with a Cognitive Architecture","J. Pyrgies","NaDI/PReCISE, Univ. of Namur, Belgium",2020 IEEE/ACM 42nd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),"1 Dec 2020","2020","","","174","177","Adaptive and Learning Agents (ALAs) bring computational intelligence to their Cyber Physical host systems to adapt to novel situations encountered in their complex operational environment. They do so by learning from their experience to improve their performance. RTCA DO-178C specifies a stringent certification process for airborne software which represents several challenges when applied to an ALA in regards of functional completeness, functional correctness, testability and adaptability. This research claims that it is possible to certify an Adaptive Learning Unmanned Aerial Vehicle (UAV) Agent designed as per a Cognitive Architecture with current DO-178C certification process when leveraging a qualified tool (DO-330), Model-Based Development and Verification (DO-331) and Formal Methods (DO-333). The research consists in developing, as a case study, an ALA embedded in a UAV aimed at neutralizing rogue UAVs in the vicinity of civil airports and test it in the field. This article is the plan to complete, by end 2022, a dissertation currently in its confirmation phase.","2574-1926","978-1-4503-7122-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9270388","DO-178C Certification;Adaptive and Learning Agent (ALA);Unmanned Aerial Vehicle (UAV);Cognitive Architecture;Requirements Engineering;Model-Based Development and Verification;Formal Methods;Reinforcement Learning","Software;Certification;Computer architecture;Adaptation models;Unmanned aerial vehicles;Software algorithms;Standards","","","","16","","1 Dec 2020","5-11 Oct. 2020","5-11 Oct. 2020","IEEE","IEEE Conferences"
"A Taxonomy of MBSE Approaches by Languages, Tools and Methods","P. De Saqui-Sannes; R. A. Vingerhoeds; C. Garion; X. Thirioux","ISAE-SUPAERO, Université de Toulouse, Toulouse, France; ISAE-SUPAERO, Université de Toulouse, Toulouse, France; ISAE-SUPAERO, Université de Toulouse, Toulouse, France; ISAE-SUPAERO, Université de Toulouse, Toulouse, France",IEEE Access,"23 Nov 2022","2022","10","","120936","120950","Systems engineering has gained in maturity over the last decades and started a transition from document-centric approaches to Model-Based Systems Engineering (MBSE). Several papers have discussed the benefits and potential, but also the limitations, of using MBSE, based on literature surveys and analyze feedback from academia and industry. The current paper explores a complementary avenue and aims at giving students and industry practitioners a set of keys and decision criteria to select MBSE languages, tools and methods. Languages, tools and methods are categorised and selection criteria are proposed for a panorama of languages that goes beyond SysML and other techniques commonly associated with MBSE. In addition, research avenues for the future of MBSE are identified. The discussion relies on the authors’ experience in teaching and using system engineering and MBSE in both academia and industry, as well as on the experience shared within the framework of Concorde, a French project dedicated to drone systems design methodologies.","2169-3536","","10.1109/ACCESS.2022.3222387","Defense Innovation Agency (AID) of the French Ministry of Defense through the Research Project CONCORDE(grant numbers:2019 65 0090004707501); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9950507","MBSE;formal methods;method;modeling tools;safety-critical systems;SysML;systems engineering","Unified modeling language;Modeling;Analytical models;Systems engineering and theory;Taxonomy;Object oriented modeling","","80","","98","CCBY","14 Nov 2022","2022","","IEEE","IEEE Journals"
"Sim: A Contract-Based Programming Language for Safety-Critical Software","T. Benoit","Siemens Industry Software, Leuven, Belgium",2019 IEEE/AIAA 38th Digital Avionics Systems Conference (DASC),"30 Apr 2020","2019","","","1","10","An important benefit of formal methods is the ability to unambiguously describe the requirements of a program and to provide evidence of the compliance of the software code with these requirements. However, formal analysis on programs written in languages that are used today in avionics can be challenging since these languages have features, such as pointers, that complicate program verification. So, to enable formal verification, one must limit the language to a subset and/or one must endure a considerable annotation overhead. This paper presents Sim, a new high-level programming language that is designed for the development and verification of safety-critical software. The Sim language has been designed so that only a small annotation overhead is needed and one can make extensive use of automatic verification tools. We show that in Sim 4 to 5 times fewer annotations are needed compared to programs written in VeriFast-C to prove equivalent properties. We additionally demonstrate that Sim is suitable as a language for avionics software development by implementing and verifying an elementary fly-by-wire application and deploying it on an STM32 microcontroller.","2155-7209","978-1-7281-0649-6","10.1109/DASC43569.2019.9081681","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9081681","contracts;semi-automatic verification;formal methods;programming language;safety-critical systems","Codes;Annotations;Microcontrollers;Metals;Aerospace electronics;Software;High level languages;Contracts;Formal verification;Software development management","","1","","22","IEEE","30 Apr 2020","8-12 Sept. 2019","8-12 Sept. 2019","IEEE","IEEE Conferences"
"Safety SysML: An Executable Safety-Critical Avionics Requirement Modeling Language","H. Liu; J. Liu; W. Yin; H. Sun; C. Yang","Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; China Aeronautical Radio Electronics Research Institute, Shanghai, China; Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China; Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, Shanghai, China","2022 IEEE 22nd International Conference on Software Quality, Reliability and Security (QRS)","20 Mar 2023","2022","","","388","399","Establishing formal modeling and verification methods for requirements has become the key to enhancing avionics software’s safety and development efficiency. As the mainstream modeling language used in Model-Based Software Engineering (MBSE), SysML is often applied to software requirements specifications. However, due to the lack of systematic and rigorous semantic definitions, SysML can cause problems in terms of accuracy and consistency in system development, threatening the correctness of safety-critical avionics software. To address the problem, this paper defines Safety SysML State Machine, an extended SysML state machine for safety control functions. Stepwise, the authors illustrate the formal specification and the refinement rules of the Safety SysML State Machine to construct the avionics integration model. Furthermore, a tool is implemented integrating the modeling and verification of the Safety SysML State Machine. Our contribution has a profound potential to broaden the use of MBSE and its well-known advantages in safety-critical applications. A specific case study on the aircraft roll angle control system demonstrates the effectiveness of our approach and the tool.","2693-9177","978-1-6654-7704-8","10.1109/QRS57517.2022.00047","Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10062409","Avionics software;safety;requirement modeling;refinement mapping;model checking","Analytical models;Systematics;Atmospheric modeling;Semantics;Aerospace electronics;Control systems;Safety","","3","","42","IEEE","20 Mar 2023","5-9 Dec. 2022","5-9 Dec. 2022","IEEE","IEEE Conferences"
