"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Mazzotti G.; Bianco L.; Lavezzo E.; Bado M.; Toppo S.; Fontana P.","Mazzotti, Giorgia (57420194700); Bianco, Luca (8671875900); Lavezzo, Enrico (24465431800); Bado, Martina (57420194600); Toppo, Stefano (6602694397); Fontana, Paolo (59296342500)","57420194700; 8671875900; 24465431800; 57420194600; 6602694397; 59296342500","Viral Network Analyzer (VirNA): A Novel Minimum Spanning Networks Algorithm for Investigating Viral Evolution","2025","International Journal of Molecular Sciences","26","5","2008","","","1","10.3390/ijms26052008","https://www.scopus.com/pages/publications/105000174074?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105000174074"
"Dhadwal D.; Sahni P.; Mittal V.; Agarwal N.; Mittal R.","Dhadwal, Deepak (57211296579); Sahni, Pooja (57191587798); Mittal, Vikas (57200087552); Agarwal, Nitin (57218768114); Mittal, Rinkesh (57194406924)","57211296579; 57191587798; 57200087552; 57218768114; 57194406924","Graphene and RT-duroid based microstrip patch antenna with complementary SSTR metamaterial for dual band 5G communication","2025","Expert Systems with Applications","278","","127231","","","12","10.1016/j.eswa.2025.127231","https://www.scopus.com/pages/publications/105001378780?origin=resultslist","Article","Final","","Scopus","2-s2.0-105001378780"
"Clarino D.; Kuroda S.; Yamashita S.","Clarino, David (58484501500); Kuroda, Shohei (57807090300); Yamashita, Shigeru (7403456164)","58484501500; 57807090300; 7403456164","Reducing T-Count in Quantum Circuits Using Alternate Forms of the Relative Phase Toffoli Gate","2025","IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences","E108.A","1","","1","10","1","10.1587/transfun.2023EAP1165","https://www.scopus.com/pages/publications/85213816209?origin=resultslist","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85213816209"
"Hong J.; Jang W.; Kim M.; Yu L.; Kwon Y.; Jeon Y.","Hong, Junwha (59968027900); Jang, Wonil (59967406900); Kim, Mijung (56123019600); Yu, Lei (59967281500); Kwon, Yonghwi (56027584100); Jeon, Yuseok (57191967471)","59968027900; 59967406900; 56123019600; 59967281500; 56027584100; 57191967471","CMASan: Custom Memory Allocator-aware Address Sanitizer","2025","Proceedings - IEEE Symposium on Security and Privacy","","","","740","757","2","10.1109/SP61157.2025.00074","https://www.scopus.com/pages/publications/105009347771?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105009347771"
"Prathiksha V.S.; Stanly Felix C.; Keerthika V.; Hasika B.","Prathiksha, V.S. (58419829400); Stanly Felix, C. (57201201109); Keerthika, V. (60529807600); Hasika, B. (60219308200)","58419829400; 57201201109; 60529807600; 60219308200","Artificial Intelligence and Internet of Things Enabled Sea Water Life Saver System","2026","17th International Conference on Advances in Computing, Control, and Telecommunication Technologies, ACT 2026","1","","","38","43","0","","https://www.scopus.com/pages/publications/105047259603?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105047259603"
"Onoprishvili T.; Yuan J.-H.; Petrov K.; Ingalalli V.; Khederlarian L.; Leuchtenmuller N.; Chandra S.; Duarte A.; Bender A.; Gloaguen Y.","Onoprishvili, Tornike (57208160988); Yuan, Jui-Hung (59314714300); Petrov, Kamen (59314120000); Ingalalli, Vijay (59680524500); Khederlarian, Lila (59314906600); Leuchtenmuller, Niklas (59315109600); Chandra, Sona (59315306100); Duarte, Aurelien (59314509900); Bender, Andreas (7102329564); Gloaguen, Yoann (57189330482)","57208160988; 59314714300; 59314120000; 59680524500; 59314906600; 59315109600; 59315306100; 59314509900; 7102329564; 57189330482","SimMS: a GPU-accelerated cosine similarity implementation for tandem mass spectrometry","2025","Bioinformatics","41","3","btaf081","","","5","10.1093/bioinformatics/btaf081","https://www.scopus.com/pages/publications/86000467940?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-86000467940"
"Smirnov O.M.; Makhathini S.; Kenyon J.S.; Bester H.L.; Perkins S.J.; Ramaila A.J.T.; Hugo B.V.","Smirnov, O.M. (56368837800); Makhathini, S. (36659524100); Kenyon, J.S. (56556205300); Bester, H.L. (56102274400); Perkins, S.J. (7201961742); Ramaila, A.J.T. (57201660664); Hugo, B.V. (57201644300)","56368837800; 36659524100; 56556205300; 56102274400; 7201961742; 57201660664; 57201644300","Africanus IV. The Stimela2 framework: Scalable and repeatable workflows, from local to cloud compute","2025","Astronomy and Computing","52","","100959","","","9","10.1016/j.ascom.2025.100959","https://www.scopus.com/pages/publications/105001241765?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105001241765"
"Kartowicz-Stolarska I.J.; Czajkowski M.","Kartowicz-Stolarska, Izabela Justyna (60727041100); Czajkowski, Marcin (24483199400)","60727041100; 24483199400","Stability-Aware Relational kNN for Gene Expression Using Within-Sample Orderings","2026","Lecture Notes in Computer Science","16786 LNCS","","","242","256","0","10.1007/978-3-032-29912-3_19","https://www.scopus.com/pages/publications/105043991066?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105043991066"
"Neupane K.R.; Maxwell C.M.; Sabie R.P.; Fernald A.G.","Neupane, Kaustuv R. (57208575867); Maxwell, Connie M. (57205456247); Sabie, Robert P. (57211926897); Fernald, Alexander G. (11139374900)","57208575867; 57205456247; 57211926897; 11139374900","Identifying Suitable Locations for Water Harvesting Structures in Dryland Watersheds to Mitigate Flooding and Erosion Using High-Resolution Topographic Data and Multi-Criteria Analysis","2026","Sustainability (Switzerland)","18","11","5495","","","0","10.3390/su18115495","https://www.scopus.com/pages/publications/105041506821?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105041506821"
"Stangaciu V.; Stangaciu C.; Curiac D.-I.; Micea M.V.","Stangaciu, Valentin (25926111200); Stangaciu, Cristina (55263234500); Curiac, Daniel-Ioan (24764440500); Micea, Mihai V. (8640790400)","25926111200; 55263234500; 24764440500; 8640790400","RTXBEE: Real-time communication module for critical Internet of Things applications","2026","Pervasive and Mobile Computing","115","","102133","","","0","10.1016/j.pmcj.2025.102133","https://www.scopus.com/pages/publications/105021028657?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105021028657"
